text,layer,head,mean_conc
news,6,0,0.3396055643878332
news,6,1,0.26933966213610117
news,6,2,0.37655234845673163
news,6,3,0.2947354571121495
news,6,4,0.3453890266941815
news,6,5,0.33869479705647726
news,6,6,0.28696171357864286
news,6,7,0.32309045697130806
news,6,8,0.31205175453569833
news,6,9,0.2652381876619851
news,6,10,0.28163517757159906
news,6,11,0.2888028807029491
news,7,0,0.29633154665551537
news,7,1,0.3074234160708218
news,7,2,0.26324338011625337
news,7,3,0.3272906072982928
news,7,4,0.3433194356720622
news,7,5,0.30321935000942973
news,7,6,0.29613293816403646
news,7,7,0.32743203349229766
news,7,8,0.3252348689044394
news,7,9,0.2942210134209656
news,7,10,0.2742695383182386
news,7,11,0.27105640747198245
news,8,0,0.31341465144622616
news,8,1,0.2790642686006499
news,8,2,0.32151348125643847
news,8,3,0.3512199055857775
news,8,4,0.3254726449163949
news,8,5,0.31756785802724885
news,8,6,0.2959061523036259
news,8,7,0.33326091490140775
news,8,8,0.31991909262610646
news,8,9,0.3225267740284524
news,8,10,0.3187303099690414
news,8,11,0.2841205767742017
news,9,0,0.3259308563499916
news,9,1,0.27992544268689507
news,9,2,0.300088404518802
news,9,3,0.3354608358406439
news,9,4,0.29965894687466504
news,9,5,0.31948590133248306
news,9,6,0.29930518567562103
news,9,7,0.303880067133322
news,9,8,0.28615194268342925
news,9,9,0.3062533114741488
news,9,10,0.33685347910334423
news,9,11,0.295947765431753
news,10,0,0.29603324139990456
news,10,1,0.2915013388889592
news,10,2,0.3034202209333094
news,10,3,0.2925222199864504
news,10,4,0.2771981943671296
news,10,5,0.3083737997747049
news,10,6,0.3049283511028057
news,10,7,0.296480936248128
news,10,8,0.2833576500415802
news,10,9,0.32754149596865584
news,10,10,0.37534258678192045
news,10,11,0.3353334621685307
news,11,0,0.2932527250633007
news,11,1,0.30318954768704204
news,11,2,0.30952824252407724
news,11,3,0.38308264496849803
news,11,4,0.3133121405432864
news,11,5,0.27208178472228167
news,11,6,0.28617199019687933
news,11,7,0.3002091573505867
news,11,8,0.4810949236881442
news,11,9,0.29126447112095066
news,11,10,0.3019542857641127
news,11,11,0.3372864675957982
code,0,0,0.42488837995748413
code,0,1,0.5288052408174536
code,0,2,0.486232564367097
code,0,3,0.42688305761622286
code,0,4,0.4597348923655762
code,0,5,0.5247461391591478
code,0,6,0.38403561882589055
code,0,7,0.38477791177815407
code,0,8,0.4315935575413978
code,0,9,0.3896994361247139
code,0,10,0.5079372367639651
code,0,11,0.32797664523809805
code,1,0,0.35345726896976604
code,1,1,0.38256310525981857
code,1,2,0.3618645652614791
code,1,3,0.5600061471434845
code,1,4,0.3784909337416463
code,1,5,0.49652859174657143
code,1,6,0.41789896032590973
code,1,7,0.32055233761496926
code,1,8,0.32847180414473875
code,1,9,0.301651193492714
code,1,10,0.3953021915479638
code,1,11,0.6896191414060264
code,2,0,0.3775137371715458
code,2,1,0.31270740669349145
code,2,2,0.40997411601844874
code,2,3,0.35342754372235
code,2,4,0.403329581364818
code,2,5,0.35154571923716316
