domain,layer,head,rA,mean_conc
double,11,7,-0.5034496785656437,0.29805402093848515
double,11,8,-0.15964490493967082,0.45653935383225597
double,11,9,-0.4094369797386573,0.2754238696638928
double,11,10,-0.39629620006839855,0.3289385824355968
double,11,11,-0.402791419970295,0.3871295427860216
multi,0,0,-0.2462736509665109,0.2614045025943552
multi,0,1,-0.669661521181215,0.30885648409139765
multi,0,2,-0.23942639164352933,0.38938308268496136
multi,0,3,-0.5299733191877068,0.2800890425744566
multi,0,4,-0.38035693301493545,0.2953602712131241
multi,0,5,-0.4955764339152957,0.34938554899785124
multi,0,6,-0.11884513086102133,0.24654367869918786
multi,0,7,-0.3081988251980379,0.2726661030528615
multi,0,8,-0.30890786288251654,0.3957619552762763
multi,0,9,-0.3059245406047968,0.3976853473961932
multi,0,10,-0.2790791084449051,0.4117413044554516
multi,0,11,-0.15144053661218282,0.36089934640139054
multi,1,0,-0.30465916048608255,0.2716744356942408
multi,1,1,-0.2768811811783503,0.2915464357554334
multi,1,2,-0.45348503506985477,0.2693229782060512
multi,1,3,-0.4593719249204194,0.501427587953586
multi,1,4,-0.24767830757209608,0.3075815052951424
multi,1,5,-0.3905505829429838,0.3448893986280682
multi,1,6,-0.18221311113049043,0.2946926556455279
multi,1,7,-0.18632448300944043,0.2996131686620342
multi,1,8,-0.2961990216525577,0.32515804021103867
multi,1,9,-0.3699253052546819,0.308677645273579
multi,1,10,-0.3205591189587762,0.39468138932603075
multi,1,11,-0.2958470960876479,0.719300587200424
multi,2,0,-0.32200878425570895,0.33080597149515617
multi,2,1,-0.1507039098301408,0.3042727428153881
multi,2,2,-0.3524072611455925,0.29049104206191684
multi,2,3,-0.36480671530060443,0.28473380019942535
multi,2,4,-0.28295937599326754,0.36726921579791505
multi,2,5,-0.38997769164187646,0.2784506151977095
multi,2,6,-0.3021470330064846,0.3943801137428839
multi,2,7,-0.21177398048058851,0.33075422540451715
multi,2,8,-0.3214688734952157,0.2967595903618822
multi,2,9,-0.43275279984889464,0.2994523133757045
multi,2,10,-0.3437540869264037,0.36068105263617434
multi,2,11,-0.5125300754387859,0.3203628702649792
multi,3,0,-0.544018128075167,0.4521564096212387
multi,3,1,-0.4137417621297023,0.30096111772129835
multi,3,2,-0.48133197107585646,0.25138533057518375
multi,3,3,-0.38315844909798147,0.28559434486245644
multi,3,4,-0.5808129948501323,0.3111811565253341
multi,3,5,-0.4253247754559648,0.28808610864634654
multi,3,6,-0.4267454832426529,0.3163942398087492
multi,3,7,-0.4468743451823664,0.2827899526913189
multi,3,8,-0.41517969711115854,0.30541431079211745
multi,3,9,-0.38041671846063635,0.29776600943607034
multi,3,10,-0.5299626405882141,0.29294659139461887
multi,3,11,-0.4660738653758286,0.28120617684230065
multi,4,0,-0.445420538094497,0.2781702288724844
multi,4,1,-0.4168950919242306,0.2860107110831344
multi,4,2,-0.4104499954381867,0.33208735156985164
multi,4,3,-0.4819923349203606,0.2655022799679377
multi,4,4,-0.5331150239005301,0.34480792457617604
multi,4,5,-0.5487029484712294,0.25566029519710726
multi,4,6,-0.6154863554059021,0.27549911876326627
multi,4,7,-0.48378843566101093,0.3099087216321704
multi,4,8,-0.5083566980540454,0.28999177417130145
multi,4,9,-0.47784750583486363,0.2893487939846168
